,Número receta,Nombre receta,ingredientes,ingredientes gustativos,ingredientes +elaboraciones,ingredientes + elaboraciones + técnicas,sabores,texturas
,208,Piñones tiernos 2017,"piñones crudos, agua mineral, sal, piñas verdes de pino, agua, azúcar, ácido ascórbico, goma xantana, aceite de maíz, madera seca de pino, sal, germinados de pino","piñones crudos, sal, piñas verdes de pino, azúcar, aceite de maíz, madera seca de pino, sal, germinados de pino","infusión de piña verde de pino ligada, leche de piñones crudos, aceite de piña verde de pino, piñones fermentados y ahumados, piñones tiernos repelados, sal, germinados de pino","infusión de piña verde de pino ligada, leche de piñones crudos, aceite de piña verde de pino, piñones fermentados y ahumados, piñones tiernos repelados, sal, germinados de pino","piñones fermentados y ahumados, aceite de piña verde, infusión de piña verde, leche cruda de piñón, piñones tiernos","solido, liquido"
,209,Reflexión sobre la nuez,"nueces crudas, aceite de girasol, sal, madera de nogal, láminas de papel de oro, agua mineral, carboximetilcelulosa, zumo de limón, queso Idiazabal, ","nueces crudas, aceite de girasol, sal, madera de nogal, láminas de papel de oro, queso Idiazabal, ","nueces peladas fritas, ahumadas
y envueltas en oro, dados de queso Idiazabal","nueces peladas fritas, ahumadas y envueltas en oro, dados de queso Idiazabal","queso Idiazabal, nueces fritas y ahumadas, ",solido
,210,Corazón de nuez,"nueces verdes y tiernas variedad Pedro, azúcar moreno, azúcar, agua mineral, ratafía, agua, aceite virgen de nuez, nuez pelada cruda, nueces tiernas, sal","nueces verdes y tiernas variedad Pedro, azúcar moreno, azúcar, ratafía, aceite virgen de nuez, nuez pelada cruda, nueces tiernas, sal","nuez “negra”, “corazón” de nuez, leche de nuez cruda, nueces tiernas repeladas, sal, aceite virgen de nuez","nuez “negra”, “corazón” de nuez, leche de nuez cruda, nueces tiernas repeladas, sal, aceite virgen de nuez","crema de nuez, nuez cruda, nuez negra, ratafía","solido, cremoso"
,213,Percebes Bellavista,"alga Codium liofilizada, aceite de maíz, percebes, agua, sal, alga Codium fresca, gelificante vegetal en polvo, caviar beluga, ","alga Codium liofilizada, aceite de maíz, percebes, sal, alga Codium fresca, caviar beluga, ","percebes cocidos, gelatina de alga Codium, caviar beluga","percebes Bellavista, caviar beluga","percebes, alga Codium, caviar beluga","solido, gelatinoso"
,217,Ensalada caprese en caña fría-caliente,"tomates cherry, aceite de oliva virgen extra, sal, agua mineral, alginato sódico, aceite de oliva suave, albahaca, goma xantana, gluconolactato cálcico, leche de búfala, ","tomates cherry, aceite de oliva virgen extra, sal, aceite de oliva suave, albahaca, leche de búfala, ","jugo de tomate aliñado, esféricos de agua de albahaca, leche de búfala ligada, aceite de oliva virgen extra, albahaca","jugo de tomate aliñado, esféricos de agua de albahaca, leche de búfala ligada, aceite de oliva virgen extra, albahaca","tomate, albahaca, leche de búfala",liquido
,218,La gilda de Disfrutar,"aceitunas manzanilla, goma xantana, manteca de cacao, colorante natural verde, caballas, sal, vinagre de arroz, salsa jang, salsa de soja, aceite de oliva virgen extra, piparras en vinagre, vinagre del bote de las piparras, anchoas en salazón, frutas de la pasión, alcaparras en vinagre, cebollino, sal en escamas","aceitunas manzanilla, manteca de cacao, caballas, sal, vinagre de arroz, salsa jang, salsa de soja, aceite de oliva virgen extra, piparras en vinagre, vinagre del bote de las piparras, anchoas en salazón, frutas de la pasión, alcaparras en vinagre, cebollino, sal en escamas","aceitunas líquidas y crujientes, caballa marinada, semillas de piparra, crema de piparras, trozos de filete de anchoa, semillas de fruta de la pasión, jugo de fruta de la pasión ligado, alcaparras en vinagre, cebollino, sal en escamas, aceite de oliva virgen extra","aceitunas líquidas y crujientes, caballa marinada, semillas de piparra, crema de piparras, trozos de filete de anchoa, semillas de fruta de la pasión, jugo de fruta de la pasión ligado, alcaparras en vinagre, cebollino, sal en escamas, aceite de oliva virgen extra","caballa marinada, alcaparra, anchoa, piparra, fruta de la pasión, aceituna, cebollino","solido, cremoso"
,219,Espardenyes en vinagre,"vinagre de arroz, salsa de soja, zumo de limón, filamentos de espardenya, pieles de espardenya, aceite de oliva virgen extra, agua, goma xantana, perejil, aceite de maíz, ajo, ","vinagre de arroz, salsa de soja, zumo de limón, filamentos de espardenya, pieles de espardenya, aceite de oliva virgen extra, perejil, aceite de maíz, ajo, ","espardenyes en vinagre, crema de espardenyes, aceite de perejil, aceite de ajo, perejil picado ","espardenyes en vinagre, crema de espardenyes, aceite de perejil, aceite de ajo, perejil picado ","espardenya, vinagre, ajo, perejil","solido, cremoso"
,220,Almendras supertiernas en vinagreta,"aceitunas manzanilla, almendras marcona crudas, agua, vinagre de jerez, aceite virgen de almendra tostada, sal, aceite virgen de maíz, vaina de vainilla, hoja de gelatina, aceite de oliva virgen extra, ajo, almendras Marcona, almendras tiernas, aceite virgen de almendra amarga, sal en escamas","aceitunas manzanilla, almendras marcona crudas, vinagre de jerez, aceite virgen de almendra tostada, sal, aceite virgen de maíz, vaina de vainilla, aceite de oliva virgen extra, ajo, almendras Marcona, almendras tiernas, aceite virgen de almendra amarga, sal en escamas","almendras supertiernas, vinagreta de almendras, aceite de vainilla, crema de almendra, aceite de ajo, praliné de almendra tostada, almendras tiernas repeladas, aceite virgen de almendra amarga, sal en escamas","almendras supertiernas, vinagreta de almendras, aceite de vainilla, crema de almendra, aceite de ajo, praliné de almendra tostada, almendras tiernas repeladas, aceite virgen de almendra amarga, sal en escamas","almendra, vinagreta de almendra, ajo, almendra tostada, ",cremoso
,221,Gelée de merluza en salsa verde,"espinas de merluza, recortes de merluza, agua, hoja de gelatina, perejil, ajo, agar-agar en polvo, aceite de oliva virgen extra, sal, goma xantana, aceite de girasol, sal en escamas","espinas de merluza, recortes de merluza, perejil, ajo, aceite de oliva virgen extra, sal, aceite de girasol, sal en escamas","gelatina caliente de salsa verde, jugo de merluza ligado, aceite de ajo, aceite de perejil, sal en escamas","gelatina caliente de salsa verde, jugo de merluza ligado, aceite de ajo, aceite de perejil, sal en escamas","caldo de merluza, salsa verde, ajo, perejil,",gelatinoso
,222,"Vainilla-apio con gorgonzola, nuez y manzana verde","apios, nata, queso gorgonzola, manzana Granny Smith, agua, limón, Prosorbet, semolina de gelatina Sosa, cacao en polvo, nueces tiernas, aceite virgen de nuez tostado, ","apios, nata, queso gorgonzola, manzana Granny Smith, limón, semolina de gelatina Sosa, cacao en polvo, nueces tiernas, aceite virgen de nuez tostado, ","apio negro, crema montada de gorgonzola, sorbete de manzana verde, falsas semillas de vainilla de cacao, nueces tiernas repeladas, sal, limón, aceite virgen de nuez tostado","apio negro, crema montada de gorgonzola, sorbete de manzana verde, falsas semillas de vainilla de cacao, nueces tiernas repeladas, sal, limón, aceite virgen de nuez tostado","apio negro, cacao, nuez tierna, queso gorgonzola, manzana","helado, solido, cremoso"
,225,Ensalada de tomate con mango y almendra tierna,"alitas de pollo, cebolla, zanahoria,  ajo, carcasas de pollo, agua,  vino blanco seco, aceite de oliva suave, sal, tomate, pasta de curri verde, nata 35% de materia grasa, pasta de cacahuete, grasa de caldo de pollo, mango, vinagre de mango, aceite de oliva virgen extra, goma xantana, agar-agar en polvo, hoja de gelatina, agua mineral, alginato sódico, albahaca, gluconolactato cálcico, almendra marcona cruda, almendras tiernas, trozos de hielo, sal en escama","alitas de pollo, cebolla, zanahoria,  ajo, carcasas de pollo,  vino blanco seco, aceite de oliva suave, sal, tomate, pasta de curri verde, nata 35% de materia grasa, pasta de cacahuete, grasa de caldo de pollo, mango, vinagre de mango, aceite de oliva virgen extra, albahaca, almendra marcona cruda, almendras tiernas, trozos de hielo, sal en escama","salsa curri, mango “negro”, mango, vinagreta de mango, gelatina de agua de tomate, esféricos de agua de albahaca, crema de almendra, semillas de tomate infusionadas con albahaca, almendras tiernas, trozos de hielo, albahaca, sal en escamas, aceite de oliva virgen extra","salsa curri, mango “negro”, mango, vinagreta de mango, gelatina de agua de tomate, esféricos de agua de albahaca, crema de almendra, semillas de tomate infusionadas con albahaca, almendras tiernas, trozos de hielo, albahaca, sal en escamas, aceite de oliva virgen extra","vinagreta de mango, tomate, mango,, mango negro, almendra tierna, salsa curri, albahaca, ","solido, cremoso"
,226,Terrina helada de sorbete de parmesano con yema y olivada,"queso Parmigiano Reggiano, agua, Prosorbet, clara de huevo pasteurizada, goma xantana, lecitina de soja en polvo, harina de trigo, aceite de girasol, yuzu, azúcar, agua mineral, alginato sódico, yema de huevo pasteurizada, goma xantana, gluconolactato cálcico, aceite de oliva suave, nata 35% de materia grasa, leche entera, sal, puré de aceituna negra muerta de Aragón, limón","queso Parmigiano Reggiano, clara de huevo pasteurizada, harina de trigo, aceite de girasol, yuzu, azúcar, yema de huevo pasteurizada, aceite de oliva suave, nata 35% de materia grasa, leche entera, sal, puré de aceituna negra muerta de Aragón, limón","sorbete de parmesano, espuma frita crujiente de parmesano, piel de yuzu confitada, miniyemas esféricas, yema de huevo ligada, espuma fría de parmesano, puré de aceituna negra, queso Parmigiano Reggiano, piel de limón","sorbete de parmesano, espuma frita crujiente de parmesano, piel de yuzu confitada, miniyemas esféricas, yema de huevo ligada, espuma fría de parmesano, puré de aceituna negra, queso Parmigiano Reggiano, piel de limón","queso Parmigiano Reggiano, piel confitada de yuzu, aceituna negra, yema de huevo, piel de limón","helado, crujiente, cremoso"
,232,Coliflor negra con besamel de coco y lima,"coliflores, jugo de cocción de coliflor negra, mantequilla, harina de trigo, leche de coco, goma xantana, nuez moscada, sal, pimienta negra, lima, limón, ","coliflores, jugo de cocción de coliflor negra, mantequilla, harina de trigo, leche de coco,  nuez moscada, sal, pimienta negra, lima, limón, ","coliflor negra, reducción de jugo de coliflor negra, espuma de besamel de coco, dados de lima, nuez moscada, sal, pimienta negra","coliflor negra, reducción de jugo de coliflor negra, espuma de besamel de coco, dados de lima, nuez moscada, sal, pimienta negra","coliflor negra, mantequilla, limón, besamel de coco, lima, nuez moscada",cremoso
,235,Espárrago a la brasa como un calçot,"espárragos blancos, pieles de espárrago asado, aceite de oliva virgen extra, recortes de tallo de espárrago asado, agua, goma xantana, sal, aceite virgen de avellana tostada, monoglicérido, ","espárragos blancos, pieles de espárrago asado, aceite de oliva virgen extra, recortes de tallo de espárrago asado, sal, aceite virgen de avellana tostada,","espárragos asados como un calçot, crema de espárrago asado, aceite texturizado de avellana, sal","espárragos asados como un calçot, crema de espárrago asado, aceite texturizado de avellana, sal","esparrago asado, avellana tostada",cremoso
,237,Pesto multiesférico con pistachos tiernos y anguila,"queso Parmigiano Reggiano, agua, nata 35% de materia grasa, leche entera, sal, aceite de oliva suave, albahaca, ajo, piñones tostados, goma xantana,  gluconolactato cálcico, agua mineral, alginato sódico, aceite virgen de pistacho, monoglicérido, panceta ibérica curada, anguila ahumada, pistachos tiernos, germinados de albahaca, pimienta negra, ","queso Parmigiano Reggiano, nata 35% de materia grasa, leche entera, sal, aceite de oliva suave, albahaca, ajo, piñones tostados, aceite virgen de pistacho, panceta ibérica curada, anguila ahumada, pistachos tiernos, germinados de albahaca, pimienta negra, ","crema de parmesano, multiesferificación de pesto, aceite texturizado de pistachos, aceite de panceta ibérica, láminas de panceta ibérica curada, dados de anguila ahumada, pistachos tiernos repelados, germinados de albahaca, piñones tostados, dados de queso Parmigiano Reggiano, pimienta negra","crema de parmesano, multiesferificación de pesto, aceite texturizado de pistachos, aceite de panceta ibérica, láminas de panceta ibérica curada, dados de anguila ahumada, pistachos tiernos repelados, germinados de albahaca, piñones tostados, dados de queso Parmigiano Reggiano, pimienta negra","pesto, pistachos tiernos, piñones tostados, queso Parmigiano Reggiano, anguila ahumada, panceta ibérica, albahaca","solido, cremoso"
,238,Huevo a la carbonara con ceps,"huesos de espinazo de cerdo ibérico, hueso de jamón ibérico, agua, beicon ahumado, mantequilla, nata 35% de materia grasa, yema de huevo, goma xantana, gluconolactato cálcico, sal, pimienta negra, agua mineral, alginato sódico, huevos de pollita, aceite de maíz, ceps, queso Parmigiano Reggiano, flores de romero, aceite de oliva virgen extra, ","huesos de espinazo de cerdo ibérico, hueso de jamón ibérico, beicon ahumado, mantequilla, nata 35% de materia grasa, yema de huevo, sal, pimienta negra, huevos de pollita, aceite de maíz, ceps, queso Parmigiano Reggiano, flores de romero, aceite de oliva virgen extra, ","jugo de cerdo ibérico, mantequilla de beicon, huevos esféricos a la carbonara, ceps salteados, ceps crudos laminados, dados de queso Parmigiano Reggiano, flores de romero, aceite de oliva virgen extra, sal, pimienta negra,","jugo de cerdo ibérico, mantequilla de beicon, huevos esféricos a la carbonara, ceps salteados, ceps crudos laminados, dados de queso Parmigiano Reggiano, flores de romero, aceite de oliva virgen extra, sal, pimienta negra,","salsa carbonara, mantequilla, beicon, ceps, ceps crudo, queso Parmigiano Reggiano, jugo de cerdo, flor de romero","solido, cremoso"
,242,"Chilli langostino, huevo de codorniz y cuajo de leche","cacahuetes crudos repelados, aceite de maíz, sal, langostinos, pasta de gamba, kétchup, salsa de tomate, tallos de cilantro, azúcar moreno, vinagre de arroz, salsa de soja, agua, huevos de codorniz, vinagre de vino blanco, ramilletes de cilantro, cuajada natural de leche de vaca, aceite de oliva virgen extra, ","cacahuetes crudos repelados, aceite de maíz, sal, langostinos, pasta de gamba, kétchup, salsa de tomate, tallos de cilantro, azúcar moreno, vinagre de arroz, salsa de soja, huevos de codorniz, vinagre de vino blanco, ramilletes de cilantro, cuajada natural de leche de vaca, aceite de oliva virgen extra, ","pasta frita de cacahuete, cacahuetes fritos, colas de langostino, salsa de chilli langostino, huevos de codorniz pochados, ramilletes de cilantro, cuajada natural de leche de vaca, aceite de oliva virgen extra, ","pasta frita de cacahuete, cacahuetes fritos, colas de langostino, salsa de chilli langostino, huevos de codorniz pochados, ramilletes de cilantro, cuajada natural de leche de vaca, aceite de oliva virgen extra, ","langostinos, huevos de codorniz pochado, cuajada, salsa chili de langostino, cacahuetes fritos, cilantro","solido, cremoso"
,244,Cabeza de salmón a la acedera,"cabezas de salmón, agua, sal, recortes y espinas de salmón,  aceite de oliva virgen extra, nata 35% de materia grasa, chalota, vino blanco, pimienta negra, huevas de salmón, brotes de acedera marina, ","cabezas de salmón, sal, recortes y espinas de salmón,  aceite de oliva virgen extra, nata 35% de materia grasa, chalota, vino blanco, pimienta negra, huevas de salmón, brotes de acedera marina, ","cartílago de cabeza de salmón cocido, salsa de salmón, huevas de salmón, brotes de acedera marina, ","cartílago de cabeza de salmón cocido, salsa de salmón y acedera, huevas de salmón, brotes de acedera marina, ","cartílago de cabeza de salmón, salsa de salmón, huevas de salmón, acedera marina, ","solido, cremoso"
,245,Tremolosa a la gallega,"tremolosas, lacón, agua, goma xantana, sal, ajo, aceite de oliva virgen extra, guindilla seca,  aceite de girasol, pimentón dulce, sal en escamas","tremolosas, lacón, sal, ajo, aceite de oliva virgen extra, guindilla seca,  aceite de girasol, pimentón dulce, sal en escamas","“mollejas” de tremolosa, caldo de lacón, aceite de ajo, aceite de guindilla, pimentón dulce, aceite de oliva virgen extra, sal en escamas","“mollejas” de tremolosa, caldo de lacón, aceite de ajo, aceite de guindilla, pimentón dulce, aceite de oliva virgen extra, sal en escamas","“mollejas” de tremolosa, lacón, ajo, guindilla, pimentón",cremoso
,249,Pichón con fresa semideshidratada caliente-fría,"pechugas de pichón, muslos de pichón, alas de pichón, carcasas de pichón, vino manzanilla, vino de Oporto, salsa de soja, vino tinto, armañac, agua, aceite de oliva 0.4°, chocolate 85%, sal, pimienta negra, fresas, miel de romero,  vinagre de umeboshi,  shiso morado en polvo, aceite virgen de almendra amarga, aceite de oliva suave, sal en escamas","pechugas de pichón, muslos de pichón, alas de pichón, carcasas de pichón, vino manzanilla, vino de Oporto, salsa de soja, vino tinto, armañac, aceite de oliva 0.4°, chocolate 85%, sal, pimienta negra, fresas, miel de romero,  vinagre de umeboshi,  shiso morado en polvo, aceite virgen de almendra amarga, aceite de oliva suave, sal en escamas","pechugas de pichón, ugo de pichón, jugo de fresas agridulce, fresa semideshidrata caliente, fresa semideshidrata fría, shiso morado en polvo, aceite virgen de almendra amarga, aceite de oliva suave, sal en escamas, miel de romero, pimienta negra","pechugas de pichón, ugo de pichón, jugo de fresas agridulce, fresa semideshidrata caliente, fresa semideshidrata fría, shiso morado en polvo, aceite virgen de almendra amarga, aceite de oliva suave, sal en escamas, miel de romero, pimienta negra","pechuga de pichón, chocolate, jugo de fresas agridulce, miel de romero, shiso rojo, fresa",solido
,250,Polenta fresca con jugo de tordo y trufa negra,"muslos de tordo, alas de tordo, recortes de tordo, vino manzanilla, vino de Oporto, salsa de soja, vino tinto, armañac, agua, aceite de oliva 0.4°, sal, hígados de tordo, pulmones de tordo, foie gras, pimienta negra, aceite de oliva virgen extra, aceite de maíz, trufa negra Tuber melanosporum,  aceite de girasol, harina de maíz, maíz frito, maíz en conserva, semolina de gelatina Sosa, ","muslos de tordo, alas de tordo, recortes de tordo, vino manzanilla, vino de Oporto, salsa de soja, vino tinto, armañac, aceite de oliva 0.4°, sal, hígados de tordo, pulmones de tordo, foie gras, pimienta negra, aceite de oliva virgen extra, aceite de maíz, trufa negra Tuber melanosporum,  aceite de girasol, harina de maíz, maíz frito, maíz en conserva, semolina de gelatina Sosa, ","jugo de tordo, paté de tordo y foie gras, puré de trufa negra, dentelles de maíz, jugo de maíz, semolina de gelatina Sosa","jugo de tordo, paté de tordo y foie gras, puré de trufa negra, dentelles de maíz, polenta fresca","tordo, foie gras, polenta, maíz, paté, trufa negra","crujiente, cremoso"
,252,"Pichón con abrigo de mazorca de maíz negra, mole, maíz y trufa negra","habas de cacao, pasas, ciruelas pasas, nueces peladas crudas, almendras crudas con piel, cacahuetes pelados crudos, cebolla, tomate, nuez moscada, clavos, canela en rama, ajo,  pimienta negra, manzanas reineta, plátano, chile Chilhuache, agua, aceite de girasol, azúcar, sal, pechugas de pichón, muslos de pichón, alas de pichón, carcasas de pichón, vino manzanilla, vino de Oporto, salsa de soja, vino tinto, armañac, aceite de oliva 0.4°, hígados de pichón, foie gras, chocolate negro 86%, mantequilla, agua mineral, alginato sódico, maíz en conserva, goma xantana, gluconolactato, aceite de maíz, minimazorcas de maíz, trufa negra Tuber melanosporum, aceite de oliva virgen extra, sal en escamas","habas de cacao, pasas, ciruelas pasas, nueces peladas crudas, almendras crudas con piel, cacahuetes pelados crudos, cebolla, tomate, nuez moscada, clavos, canela en rama, ajo,  pimienta negra, manzanas reineta, plátano, chile Chilhuache, aceite de girasol, azúcar, sal, pechugas de pichón, muslos de pichón, alas de pichón, carcasas de pichón, vino manzanilla, vino de Oporto, salsa de soja, vino tinto, armañac, aceite de oliva 0.4°, hígados de pichón, foie gras, chocolate negro 86%, mantequilla, maíz en conserva, aceite de maíz, minimazorcas de maíz, trufa negra Tuber melanosporum, aceite de oliva virgen extra, sal en escamas","base de mole negro, pechugas de pichón, salsa de pichón con mole negro, paté de hígado de pichón, esféricos de maíz, minimazorcas de maíz “negras”, láminas de trufa negra, pimienta negra, sal en escamas, ","base de mole negro, pechugas de pichón, salsa de pichón con mole negro, paté de hígado de pichón, esféricos de maíz, minimazorcas de maíz “negras”, láminas de trufa negra, pimienta negra, sal en escamas, ","pichón, foie, gras, paté, maíz, maíz negro, mole negro, trufa negra, ","solido, cremoso"
,254,Lomo de liebre con sesos y salsa de coco quemado,"lomos de liebre, hígados de liebre, sangre de liebre, recortes de liebre, sesos de conejo, vino manzanilla, vino de Oporto, salsa de soja, vino tinto, apio, cebolla, zanahoria, tomillo, romero, laurel, pimienta negra, aceite de oliva 0.4°, agua, sal, goma xantana, pulpa de coco fresco, cebolla morada, jengibre, cayena, ajo, cilantro, agua de coco, aceite de oliva virgen extra, carbón, leche de coco, aceite de girasol, hojas de lima kaffir, guindilla seca, ramas de citronela, albahaca, chile, pasta de tamarindo, sal en escamas","lomos de liebre, hígados de liebre, sangre de liebre, recortes de liebre, sesos de conejo, vino manzanilla, vino de Oporto, salsa de soja, vino tinto, apio, cebolla, zanahoria, tomillo, romero, laurel, pimienta negra, aceite de oliva 0.4°, sal, pulpa de coco fresco, cebolla morada, jengibre, cayena, ajo, cilantro, agua de coco, aceite de oliva virgen extra, carbón, leche de coco, aceite de girasol, hojas de lima kaffir, guindilla seca, ramas de citronela, albahaca, chile, pasta de tamarindo, sal en escamas","sesos de conejo, lomos de liebre, jugo de liebre ligado, salsa de coco quemado, aceite de lima kaffir, aceite de guindilla, leche de coco infusionada ligada, cilantro, albahaca, chile, pasta de tamarindo, pimienta negra, sal en escamas","sesos de conejo, lomos de liebre, jugo de liebre ligado, salsa de coco quemado, aceite de lima kaffir, aceite de guindilla, leche de coco infusionada ligada, cilantro, albahaca, chile, pasta de tamarindo, pimienta negra, sal en escamas","liebre, sesos de conejo, coco quemado, tamarindo, leche de coco, lima kaffir, guindilla, cilantro, albahaca, chile","solido, cremoso"
Gazpacho cremoso,"tomate rojo maduro, pepino, pimiento rojo, pan blanco, aceite de oliva virgen extra, cebolla, ajo, sal, agua, aceite de oliva suave, huevo pasteurizado, vinagre de jerez, albahaca, piñones, ","tomate rojo maduro, pepino, pimiento rojo, pan blanco, aceite de oliva virgen extra, cebolla, ajo, sal, aceite de oliva suave, huevo pasteurizado, vinagre de jerez, albahaca, piñones, ","base de gazpacho, mayonesa, vinagre de jerez, aceite de albahaca, piñones tostados","espuma de gazpacho, sopa de gazpacho, aceite de albahaca, piñones tostados","gazpacho, aceite de albahaca, piñones tostados",,,
"Endivias tibias con gorgonzola, nueces y fruta de la pasión","endivias, aceite de oliva suave, queso gorgonzola, nata con el 35 % de materia grasa, leche entera, agua, hielo, nueces, aceite de girasol, sal, fruta de la pasión, aceite de oliva virgen extra, pimienta negra, ","endivias, aceite de oliva suave, queso gorgonzola, nata con el 35 % de materia grasa, leche entera, nueces, aceite de girasol, sal, fruta de la pasión, aceite de oliva virgen extra, pimienta negra, ","endivias cocidas, espuma de gorgonzola, endivias rizadas, nueces fritas, pasta de nueces,  fruta de la pasión, aceite de oliva virgen extra, sal, pimienta negra, ","endivias cocidas, espuma de gorgonzola, endivias rizadas, nueces fritas, pasta de nueces,  fruta de la pasión, aceite de oliva virgen extra, sal, pimienta negra, ","endivias, espuma de gorgonzola, nueces fritas, fruta de la pasión, ",,,
"Tomate, sandía, rosas y espuma de naranja sanguina","zumo de naranja sanguina, hojas de gelatina, agua de rosas, agua, agar-agar en polvo, azúcar, menta, aceite de girasol, tomates de ensalada, sandía, nueces de macadamia, brotes de ensalada variados, vinagre balsámico de Módena, aceite de almendra amarga, aceite de oliva virgen extra, cardamomo en polvo, sal en escamas, ","zumo de naranja sanguina, agua de rosas, azúcar, menta, aceite de girasol, tomates de ensalada, sandía, nueces de macadamia, brotes de ensalada variados, vinagre balsámico de Módena, aceite de almendra amarga, aceite de oliva virgen extra, cardamomo en polvo, sal en escamas, ","espuma de naranja sanguina, gelatina de agua de rosas, aceite de menta, tomates de ensalada, sandía, nueces de macadamia, brotes de ensalada variados, vinagre balsámico de Módena, aceite de almendra amarga, aceite de oliva virgen extra, cardamomo en polvo, sal en escamas, ","espuma de naranja sanguina, gelatina de agua de rosas, aceite de menta, tomates de ensalada, sandía, nueces de macadamia, brotes de ensalada variados, vinagre balsámico de Módena, aceite de almendra amarga, aceite de oliva virgen extra, cardamomo en polvo, sal en escamas, ","espuma de naranja sanguina, gelatina de agua de rosas, aceite de menta, tomate, sandía, nueces de macadamia, brotes de ensalada variados, vinagre balsámico de Módena, aceite de almendra amarga, cardamomo, ",,,
Sorbete de ajo blanco con ensalada de remolacha y frutas,"almendra marcona, agua, sal, hoja de gelatina, remolacha, azúcar, pimienta negra, aceite de oliva virgen extra, ajo, pistacho verde, aceite de girasol, piña, yogur natural, fresas, aceite de almendra amarga, sal en escamas, brotes de remolacha, vinagre balsámico de Módena, ","almendra marcona, sal, remolacha, azúcar, pimienta negra, aceite de oliva virgen extra, ajo, pistacho verde, aceite de girasol, piña, yogur natural, fresas, aceite de almendra amarga, sal en escamas, brotes de remolacha, vinagre balsámico de Módena, ","sorbete de leche de almendra, láminas de remolacha confitadas, espuma de remolacha, vinagreta de remolacha, aceite de ajo, pasta de pistacho verde, dados de piña, yogur natural, fresas, aceite de almendra amarga, sal en escamas, brotes de remolacha, vinagre balsámico de Módena, ","sorbete de leche de almendra, láminas de remolacha confitadas, espuma de remolacha, vinagreta de remolacha, aceite de ajo, pasta de pistacho verde, dados de piña, yogur natural, fresas, aceite de almendra amarga, sal en escamas, brotes de remolacha, vinagre balsámico de Módena, ","sorbete de leche de almendra, remolacha confitadas, vinagreta de remolacha, aceite de ajo, pistacho verde, piña, yogur natural, fresas, aceite de almendra amarga, brotes de remolacha, vinagre balsámico de Módena, ",,,
Sardinas marinadas con horchata y trufa negra,"sardinas, salsa jang, vinagre de arroz,  vinagre de vino blanco, sal, agua, aceite de oliva virgen extra,  chufas, xantana, trufa negra, aceite de maíz, albahaca, almendras marcona, tomates cherry, sal en escamas","sardinas, salsa jang, vinagre de arroz,  vinagre de vino blanco, sal, aceite de oliva virgen extra,  chufas, trufa negra, aceite de maíz, albahaca, almendras marcona, tomates cherry, sal en escamas","sardinas marinadas, crema de horchata, aceite de trufa negra, aceite de albahaca, almendras tostadas, tomate cherry , albahaca, sal en escamas","sardinas marinadas, crema de horchata, aceite de trufa negra, aceite de albahaca, almendras tostadas, tomate cherry , albahaca, sal en escamas","sardinas marinadas, crema de horchata, aceite de trufa negra, almendras tostadas, tomate cherry , albahaca, sal en escamas",,,
"Sardinas con manzana, hinojo y vinagreta de grosella negra y eucalipto","sardinas, vinagre de vino blanco, sal, agua, aceite de oliva virgen extra, eucalipto, aceite de maíz, azúcar, vinagre de jerez,  frambuesa liofilizada, manzanas Granny Smith, bulbo de hinojo, zumo de limón, grosellas negras, estragón, perifollo, arándanos, yogur griego, sal en escamas, pimienta negra, ","sardinas, vinagre de vino blanco, sal, aceite de oliva virgen extra, eucalipto, aceite de maíz, azúcar, vinagre de jerez,  frambuesa liofilizada, manzanas Granny Smith, bulbo de hinojo, zumo de limón, grosellas negras, estragón, perifollo, arándanos, yogur griego, sal en escamas, pimienta negra, ","sardinas en vinagre, aceite de eucalipto, vinagre de frambuesa, dados de manzana, láminas de bulbo de hinojo, puré de grosella negra, estragón, perifollo, arándanos, yogur griego, sal en escamas, pimienta negra, aceite de oliva virgen extra, ","sardinas en vinagre, aceite de eucalipto, vinagre de frambuesa, dados de manzana, láminas de bulbo de hinojo, puré de grosella negra, estragón, perifollo, arándanos, yogur griego, sal en escamas, pimienta negra, aceite de oliva virgen extra, ","sardinas en vinagre, aceite de eucalipto, vinagre de frambuesa, manzana, hinojo, grosella negra, estragón, perifollo, arándanos, yogur griego, ",,,
