Número receta, ingredientes
636,   pan  +  huevo de codorniz  +  aceite de oliva virgen  +  sal
637,   alga nori seca  +  azúcar  +  sal
638,   fresa  +  campari  +  albahaca  +  sansho  +  mandarina
639,   bacon  +  piñón  +  azúcar
640,   chicharrón  +  azúcar  +  piñón  +  sal
641,   cacahuete  +  pasta de cacao  +  azúcar  +  curry  +  sal
642,   pata de gamba  +  témpura  +  sal
643,   maíz frito  +  azúcar  +  aguacate  +  cebolla  +  tomate  +  cilantro  +  queso fresco  +  panceta cruda de cerdo  +  aceite de oliva  +  sal
644,   hueva de trucha  +  panceta ibérica  +  témpura
645,   pasta brick  +  hueva de trucha  +  yema de huevo de codorniz  +  wasabi  +  soja  +  jengibre  +  sal
646,   hueva de trucha  +  pomelo rosa  +  arrope  +  tallaetes
647,   yogur  +  yogur en polvo  +  azúcar  +  nata  +  sal
648,   manzana  +  baya de enebro  +  vinagre balsámico de Módena
649,   espárrago blanco  +  yema de huevo  +  aceite de girasol  +  pomelo  +  estragón  +  mostaza  +  vinagre  +  aceite de oliva virgen
650,   consomé  +  caviar  +  yogur  +  mantequilla  +  limón
651,   consomé  +  parmesano  +  albahaca  +  nuez  +  panceta ibérica
652,   melón  +  almendra tierna  +  hierbas frescas  +  tomate  +  pomelo  +  especias
653,   berenjena  +  bonito seco  +  albaricoque  +  yogur griego  +  salsa de soja
654,   pan de hogaza  +  trufa de verano  +  panceta ibérica  +  perifollo  +  aceite de tartufo
655,   espárrago verde  +  pan  +  parmesano  +  limón  +  albahaca  +  aceite de girasol
656,   espárrago verde silvestre  +  trufa negra  +  pan  +  leche quemada  +  aceite de girasol
657,   caracol  +  panceta ibérica  +  ajo  +  tomillo  +  laurel  +  hinojo  +  aceite de girasol  +  mantequilla
658,   pistacho tierno  +  panceta ibérica  +  cep  +  fondo de carne  +  pistacho verde seco  +  hierbas aromáticas   +  cítricos  +  especias  +  sal  +  pimienta negra
659,   remolacha  +  vinagre  +  yogur  +  vinagre dulce  +  aceite de oliva virgen
660,   pepino  +  menta  +  yogur  +  vinagre dulce  +  curry  +  aceite de oliva virgen
661,   flor de hibisco  +  lichi  +  menta  +  aceite de girasol
662,   piña  +  campari  +  aceite de oliva virgen  +  pimienta
663,   morilla  +   nata  +  panceta ibérica  +  pan de hogaza  +  perifollo  +  yema de huevo
664,   polenta  +  anisado  +  maíz  +  mascarpone  +  fondo de carne  +  mantequilla  +  aceite de avellana
665,   setas  +  cuajada  +  panceta ibérica  +  hierbas frescas  +  piña verde de pino
666,   piñón  +  rossinyol  +  agua de mar  +  piña verde de pino  +  aceite de girasol
667,   agua de mar  +  erizo  +  flor de hibisco  +  mango  +  piña  +  lima  +  hinojo
668,   tomate cereza  +  tomate  +  albahaca  +  cítricos  +  regaliz  +  sansho  +  hierbas frescas
669,   jugo de trufa negra  +  leche quemada de oveja  +  consomé
670,   patata  +  aceite de oliva  +  perifollo  +  vinagre en polvo  +  crema doble  +  cebollino  +  pimienta negra
671,   coliflor  +  fondo de cordero  +  pan de especias  +  campari  +  vinagre dulce  +  jengibre  +  azúcar mascabado  +  fruta  +  hierbas aromáticas  +  azafrán
672,   jamón ibérico  +  berro  +  lacón  +  espinaca  +  patata  +  aceite de oliva virgen
673,   consomé  +  jugo de trufa negra  +  yema de huevo de codorniz  +  perifollo  +  agua de mar
674,   ostra  +  té  +  alga dulse  +  espinaca  +  limón  +  mantequilla  +  azúcar
675,   ostra  +  azúcar  +  cacahuete  +  mantequilla
676,   hígado de rape  +  sake  +  soja  +  cítricos  +  azúcar  +  jengibre  +  tomate  +  aceite de girasol  +  cilantro  +  ficoide glaciale
677,   brote de soja  +  tinta de calamar  +  morralet  +  yema de huevo  +  perejil  +  ajo  +  aceite de oliva
678,   brote de soja  +  mejillón  +  azafrán  +  limón  +  mantequilla
679,   cigala  +  agua  +  hueva de kalix  +  romero
680,   bogavante  +  agua de mar  +  wasabi  +  mantequilla
681,   percebe  +  té  +  naranja sanguina  +  alga dulse  +  mantequilla
682,   jurel  +  hueva de kalix  +  carbón  +  fondo de carne  +  agua de mar  +  miniensaladas  +  limón  +  aceite de oliva
683,   raya  +  enoki  +  té  +  hueva de trucha  +  naranja sanguina  +  alga dulse
684,   sardina  +  pan  +  agua de mar  +  hueva de kalix  +  almendra tostada  +  ajo  +  yema de huevo  +  hierbas frescas
685,   foie-gras de pato  +  melocotón  +  manzana  +  miel  +  vinagre dulce
686,   conejo  +  vino tinto  +  fondo de conejo  +  especias  +  cítricos  +  manzana  +  hierbas frescas  +  cacao  +  azúcar mascabado  +  foie-gras de pato  +  vinagre dulce  +  gengibre escarchado  +  enebro
687,   patata  +  nata  +  mantequilla  +  yema de huevo  +  azúcar  +  vainilla  +  sal
688,   levadura  +  leche  +  nata  +  limón  +  azúcar  +  canela  +  mandarina  +  huevo de codorniz  +  pan de especias  +  mantequilla
689,   cereza  +  yogur  +  cerveza negra  +  limón
690,   calabaza  +  mandarina  +  menta  +  arrope  +  tallaetes  +  vainilla  +  pipa de calabaza  +  café
691,   masa de bizcocho  +  campari  +  vainilla  +  albahaca  +  naranja  +  vinagre dulce  +  pimienta
692,   piña  +  coco  +  jengibre  +  yogur  +  curry  +  cacao
693,   cacao  +  almendra  +  almendra amarga  +  café  +  amaretto
694,   manzana  +  azafrán  +  pasta de cacao  +  miel
695,   piña  +  dátil  +  coco  +  jengibre  +  hinojo
696,   limón  +  frambuesa  +  toffee  +  yogur  +  regaliz
697,   wasabi  +  limón  +  sansho  +  miel
698,   leche  +  yema de huevo  +  levadura  +  limón  +  canela  +  mantequilla  +  caramelo oscuro  +  naranja
699,   chocolate  +  lima  +  wasabi  +  sal  +  caramelo oscuro
700,   chocolate negro  +  hierba luisa
701,   pasta de cacao  +  azúcar  +  naranja confitada
702,   chocolate con leche  +  chicoria
703,   chocolate  +  estragón
704,   manzana  +  azúcar
705,   pasta philo  +  orégano  +  tomate
706,   café  +  pasta philo  +  amaretto
707,   pasta philo  +  limón  +  coco
708,   azafrán  +  agua  +  azúcar  +  ácido cítrico
709,   avellana  +  azúcar  +  clara de huevo
710,   vainilla  +  agua  +  azúcar  +  ácido cítrico
711,   arándano  +  clara de huevo  +  azúcar
712,   yogur  +  azúcar  +  frambuesa liofilizada
713,   chocolate blanco  +  pimienta rosa  +  hinojo
714,   chocolate blanco  +  trufa de verano  +  aceite de tartufo
715,   chocolate blanco  +  aceituna negra  +  sal
716,   chocolate  +  wasabi  +  sal
717,   vino tinto  +  curaçao  +  ginebra  +  fruta  +  laurel  +  pimienta negra  +  piel de cítricos  +  azúcar
718,   melón de Canteloup  +  manzanilla  +  fruta de la pasión
719,   bourbon  +  fruta de la pasión  +  azúcar
720,   estragón  +  lima  +  cachaça  +  azúcar de caña
721,   menta  +  ron  +  lima  +  angostura  +  co2  +  azúcar demerara
722,   coco  +  ron  +  piña  +  azúcar mascabado
723,   palomitas  +  trigo integral  +  azúcar  +  sal
724,   pasta brick  +  parmesano  +  limón  +  aceite de oliva virgen
725,   piel de bacalao salado  +  aceite de oliva  +  sal
726,   pistacho tostado  +  yogur en polvo  +  azúcar  +  sal
727,   hueva de sepia  +  sal
728,   parmesano  +  harina  +  mantequilla  +  huevo  +  sal
729,   copos de maíz  +  sal
730,   pata de pollo  +  sal
731,   arroz  +  azafrán  +  gambas  +  polvo de tomate  +  sal
732,   arroz  +  azafrán  +  tomate  +  gambas  +  cangrejo  +  pescado  +  cebolla  +  pimentón  +  sal  +  ajo  +  perejil
733,   cep  +  piña verde de pino  +  piñón  +  romero  +  sal
734,   cep  +  azúcar  +  sal
735,   pan  +  chocolate  +  aceite de oliva  +   sal
736,   patata  +  pimentón  +  vinagre  +  sal
737,   espárrago blanco  +  témpura  +  soja
738,   rosas  +  témpura  +  miel  +  agua de rosas  +  sal
739,   flor de acacia  +  témpura  +  sal
740,   flor de saúco  +  témpura  +  sal
741,   yema de huevo de codorniz  +  azúcar  +  nuez moscada  +  sal  +  pimienta negra
742,   espárrago blanco  +  pomelo rosa  +  jengibre  +  menta  +  mostaza  +  bacon  +  azúcar  +  sal  +  naranja
743,   higo pequeño  +  vinagre  +  tomillo
744,   almendra verde  +  almendra de albaricoque  +  témpura  +  azafrán  +  aceite de oliva
745,   percebe  +  laurel  +  mantequilla  +  sal
746,   chufa  +  agua
747,   morilla  +  nata  +  panceta ibérica  +  sal
748,   gambas  +  hierbas frescas  +  jengibre  +  soja  +  azúcar  +  wasabi  +  aceite de sésamo
749,   remolacha  +  zanahoria  +  hinojo  +  frambuesa
750,   brick  +  parmesano  +  limón  +  pimienta negra
751,   llengüeta  +  sal
752,   coco  +  jengibre  +  albahaca  +  hierba luisa  +  lima  +  tamarindo  +  curry  +  aceite de girasol
752a,   soja  +  wasabi  +  alga nori  +  jengibre rosa  +  sésamo  +  aceite de jengibre
752b,   maíz  +  cilantro  +  guindilla  +  aceite de girasol
753,   albahaca  +  tomate  +  consomé  +  pomelo rosa  +  panceta ibérica
754,   jamón  +  parmesano  +  albahaca  +  pimiento  +  cebolla  +  zanahoria  +  nabo  +  apio  +  espárrago blanco  +  panceta ibérica
755,   foie-gras de pato  +  consomé  +  tamarindo
756,   jugo de trufa negra  +  clara de huevo
757,   pepino  +  pepino en flor  +  azúcar  +  polvo de yogur  +  menta  +  curry  +  vinagre  +  aceite de oliva virgen
758,   mora  +  tabaco  +  azúcar
759,   ugli  +  coco en polvo  +  tamarindo  +  jengibre confitado  +  pomelo  +  hierbas frescas  +  curry  +  aceite de girasol
760,   pipa de calabaza  +  aceite de pipa de calabaza  +  calabaza  +  pomelo  +  azúcar
761,   zanahoria  +  co2
762,   huevo  +  jamón ibérico  +  azúcar  +  nata  +  mantequilla
763,   nuez de macadamia  +  perrechico  +  flor de saúco  +  menta  +  yogur  +  piña de pino  +  lima  +  regaliz
764,   espárrago verde  +  mostaza de Dijon  +  vinagre de jerez  +  yema de huevo  +  aceite de oliva virgen
765,   naranja  +  calabaza  +  pipa de calabaza  +  yogur  +  azafrán  +  almendra amarga  +  agua de azahar  +  anís  +  cardamomo  +  azúcar
766,   pimiento del Padrón  +  mandarina  +  lima  +  regaliz  +  albahaca  +  mantequilla
767,   yogur  +  nuez de macadamia  +  vinagre de jerez  +  lichi  +  lima
768,   trufa de verano  +  nata  +  bacon  +  yema de huevo de codorniz  +  aceite de tartufo  +  mantequilla  +  parmesano
769,   sepia  +   limón  +  aceite de girasol
770,   minizanahoria  +  zanahoria  +  coco  +  estragón  +  albahaca  +  cardamomo  +  co2  +  aceite ahumado
771,   caracolines  +  laurel  +  tomillo  +  romero  +  baya de saúco  +  hierbas frescas aromáticas  +  pimienta negra
772,   aguacate  +  minimazorca  +  yogur  +  cilantro  +  fruta de la pasión  +  guindilla  +  mantequilla  +  aceite  +  perejil
773,   piñón tierno  +  piñón tostado  +  piñón repelado  +  piña de pino  +  aceite de girasol
774,   naranja  +  yogur  +  vinagre  +  aceite de oliva virgen  +  menta  +  estragón  +   albahaca  +  sansho  +  cardamomo  +  azúcar  +  pomelo gigante  +  acido cítrico
775,   mejillón de roca  +  alga nori  +  vinagre  +  ajo  +  tomillo  +  laurel  +  romero  +  pimentón  +  aceite de oliva
776,   brote de soja  +  azafrán  +  chalota  +  vino blanco  +  parmesano  +  aceite de oliva virgen  +  mantequilla  +  consomé  +  leche  +  nata
777,   rossinyol  +  piña de pino  +  grosella negra  +  panceta ibérica  +  perifollo  +  nata  +  hierbas frescas aromáticas
778,   carbón  +  espárrago verde  +  zanahoria  +  apio  +  pimiento rojo  +  pimiento verde  +  nabo  +  cebolla tierna  +  aceite de girasol  +  romero  +  tomillo
779,   cigala  +  coco  +  cidronela  +  lima  +  curry  +  jengibre  +  cilantro  +  tamarindo  +  albahaca   +  hierba luisa  +  maken thai  +  aceite de girasol
780,   ostra  +  alga nori  +  azúcar  +  lima  +  coco  +  jengibre  +  albahaca  +  hierba luisa   +  tamarindo  +  curry  +  aceite de girasol   + soja  +  wasabi  +  jengibre rosa  +  sésamo  +  aceite de jengibre  +  maíz  +  cilantro  +  guindilla
781,   nécora  +  minimazorca  +  mantequilla  +  hinojo  +  pimienta negra
782,   espardenya  +  pan  +  coco  +  aceite ahumado
783,   raya  +  mantequilla noisette  +  alcaparra  +  patata  +  avellana  +  aceite de girasol  +  vinagre
784,   piel de lenguado  +  hueva de lenguado  +  mantequilla noisette  +  alcaparra  +  patata  +  mandarina  +  vinagre en polvo
785,   tórtola  +  mora  +  foie-gras de pato  +  jengibre confitado  +  hierbas frescas  +  vinagre dulce  +  cacao  +  pimienta negra  +  enebro
786,   foie-gras de pato  +  ostra  +  caviar  +  manzana  +  almendra tierna  +  flor de saúco  +  aceite de oliva virgen
787,   manzana  +  patata  +  alcaparra  +  aceite de avellana  +  miel  +  mantequilla noisette  +  vinagre  +  sal
788,   patata  +  sal  +  témpura  +  yema de huevo  +  aceite de oliva virgen  +  azúcar
789,   aceite de oliva virgen  +  azúcar  +  sal
790,   anisado  +  toffee
791,   lima  +  pan de especias  +  enebro  +  plátano  +  café  +  cacao  +  canela  +  sansho
792,   pomelo  +  tamarindo  +  guindilla  +  curry  +  albahaca  +  hierba luisa  +  cilantro  +  lima  +  jengibre
793,   tomate  +  naranja  +  yogur  +  aceite de oliva virgen  +  sal
794,   chocolate blanco  +  café  +  pipa de calabaza  +  azúcar mascabado  +  anís estrellado  +  limón  +  sal
795,   pan chino  +  sésamo  +  limón  +  canela  +  naranja  +  miel  +  jengibre  +  anís estrellado
796,   arroz  +  leche  +  azafrán  +  naranja  +  canela  +  limón  +  vainilla
797,   fruta de la pasión  +  nibs  +  hierba luisa  +  mango  +  plátano  +  limón  +  regaliz  +  cacao
798,   fresa de bosque  +  especias  +  hierbas frescas aromáticas  +  lima  +  vinagre de jerez  +  mango  +  naranja  +  jengibre
799,   chocolate  +  licor de mandarina  +  mandarina  +  vainilla  +  lima  +  naranja  +  nibs  +  pasta de cacao
800,   leche fermentada  +  azúcar efervescente  +  yogur en polvo  +  lima  +  petazetas
801,   maíz  +  jarabe ahumado  +  chocolate  +  limón  +  toffee  +  yogur  +  maíz frito
802,   almendra  +  azúcar mascabado  +  miel  +  almendra frita  +  vainilla  +  mantequilla  +  limón
803,   albaricoque  +  toffee  +  amaretto  +  almendra amarga  +  yogur en polvo  +  almendra
804,   chocolate  +  azúcar  +  pipa de calabaza
805,   chocolate  +  azúcar  +  pipa de calabaza
806,   patata  +  témpura  +  azúcar  +  chocolate
807,   café  +  yogur  +  pasta sablée
808,   azúcar  +  efervescente Gallefi  +  lima
809,   yogur  +  azúcar  +  azúcar mascabado
810,   fruta de la pasión  +  café
811,   fruta de la pasión  +  chocolate
812,   pistacho verde  +  pistacho  tostado  +  azúcar
813,   frambuesa  +  caramelo balsámico
814,   grosella  +   chocolate
815,   chocolate  +  toffee
816,   chocolate  +  yogur
817,   chocolate con leche  +  nata  +  mantequilla
818,   pan de especias  +  naranja confitada  +  jengibre  +  nibs  +  lima
819,   sandía  +  menta
820,   azúcar  +  lima  +  petazetas
821,   yogur  +  aceite de oliva virgen  +  azúcar mascabado  +  azúcar demerara
822,   pasta de cacao  +  azúcar
823,   café  +  mascarpone  +  cacao  +  amaretto  +  masa de teja
824,   grosella  +  azúcar
825,   frambuesa  +  azúcar  +  piña
826,  grappa + lima + mangostán
827,  azúcar + limón + tequila + cointreau + sal
828, fresita + lima kaffir + azúcar + té matcha + azúcar demerara + aguardiente de frambuesa
829, té de rosas + miel de romero + melocotón + rosas + jengibre + agua de rosas
830,  melocotón + cerveza
831, jugo de trufa negra + champaña
832, piña verde de pino + azúcar
833, azúcar + aceituna negra + piña liofilizada
834,  alcachofa + azúcar + sal
835,  patata + aceituna negra + aceite de oliva virgen extra + ácido cítrico
836,  alcachofa + café + sal
837,  pan + piñón tostado + sal
838,  corteza de cerdo + yogur + especias Córdoba fatéma Hal
839, mantequilla + cacahuete tostado + pan + miel de romero + sal + azúcar
840, avellana tostada + azúcar + sal
841, mango + azúcar + pistacho verde + pistacho tostado + piel de yuzu deshidratada
842, parmesano + pan
843, frambuesa + romero + tomillo + hinojo + jengibre
844,  azúcar + aceituna negra + piña liofilizada + hinojo
845, azúcar + maíz frito + lima + sal
846, gamba + melón cantaloupe + sal
847, flor de calabacín + azúcar + tamarindo + azafrán + sal
848, oreja de conejo + tomillo + romero + ajo + sal
849, piel de espardenya + aceite de oliva
850, flor de hinojo + témpura + sal
851, piel de limón semiconfitada + témpura + regaliz + limón + sal
852, espárrago verde espigado + piel de naranja semiconfitada + témpura + sal
853, mandarina
854,  ruibarbo + azúcar demerara + pimienta negra
855, foie-gras de pato + sal + azúcar mascabado + pimienta negra
856, almendra tierna + azúcar + sal + ácido cítrico + esencia de almendra amarga
857, cereza + grasa de jamón ibérico
858, atún + grasa de jamón ibérico + aceite de oliva + sal
859,  pan + jamón ibérico + aceite de oliva virgen extra
860, sardina + escabeche + sal
861,  mango + aceituna negra + sal + azúcar
862, seso de conejo + té matcha + azúcar demerara + piel de yuzu deshidratada + huevo + aceite de oliva + ácido cítrico + pistacho
863,  piel de pollo + jugo de pollo + pan + limón + azahar + cilantro + tomillo + romero + pimienta negra + ajo + aceite de oliva virgen extra + sal
864,  shiso morado + piel de yuzu deshidratada + wasabi + lima + mora silvestre + yogur  + sal
865,  piña verde de pino + aceite de girasol + piñón tierno + azúcar + sal
866,  trufa de verano + aceite de trufa blanca + azúcar + sal
867,  sepia + bazo de sepia + tinta de sepia + especias Ouarzazate fatéma Hal + aceite de oliva + sal
868,  azúcar + coco + menta + tamarindo + curry de Madrás
869,  salmonete + guindilla + sal + azúcar + aceite de girasol
870,  sake + dashi + hueva de trucha
871,  salmonete + flor de hinojo + guindilla + azafrán + piel de yuzu deshidratada + aceite de oliva + sal
872,  guisante + menta + aceite de girasol + grasa de jamón ibérico + flor de guisante + sal
873,  melón cantaloupe + menta + fruta de la pasión
874,  lenteja + almendra tierna + azúcar + foie-gras de pato + pimienta negra + sal
875,  anchoa + panceta ibérica salada + alcaparra en vinagre + pepino en flor + aceite de oliva virgen extra + vinagre balsámico + azúcar + pimienta negra
876,  piña verde de pino + aceite de girasol + piñón tierno + piñón crudo + aceite de oliva + piñón frito + azúcar + sal
877,  garbanzo + yogur + menta + aceite de oliva virgen extra + pimienta negra
878,  zanahoria + coco + almendra amarga + curry de Madrás
879,  pomelo rosa + estragón + sésamo negro + aceite de girasol + sal
880, higo chumbo + nopal + higo coll de dama + vinagre balsámico + aceite de oliva virgen extra
881,  jugo de trufa negra + yogur + aceite de avellana + pimienta negra
882,  yamatoimo + senderuela + flor de saúco + melisa + sal
883,  leche + nata + jugo de trufa + aceite de avellana + sal
884,  azúcar + trufa de verano + aceite de trufa blanca + limón + nata + mantequilla + pimienta negra + sal
885,  nopal + higo chumbo + azúcar + lima + limón + naranja + pomelo rosa + cuscús de cebada verde + yogur + especias Jamaa el Fna fatéma Hal + pimienta negra + aceite de oliva virgen extra + aceite de argana + sal
886, almendra cristal + almendra frita + aceite de oliva + almendra amarga  + azúcar + yogur en polvo + ácido cítrico + flor de acacia + aceite de almendra + sal
887,  buey de mar + aguacate + aceite de pipa de calabaza + yogur + pimienta negra + aceite de oliva virgen extra + sal
888,  leche + nata + maíz cocido + toffee + maíz frito + mantequilla + pimienta negra + sal
889,  morralet + mandarina + tinta de calamar + bazo de sepia + aceite de oliva + cebolla + ajo + sal
890,  diente de león silvestre + hueva de mújol + limón + nata + mantequilla + azúcar + aceite de oliva virgen extra
891,  pasta fresca de levadura + nata + yema de huevo + mantequilla + lima + naranja + limón + canela + azúcar + sal
892,  alcachofa + mandarina + vinagre de jerez + aceite de pipa de calabaza
893,  calabaza + azúcar + aceite de pipa de calabaza + naranja + anís + pipa de calabaza + albahaca + tamarindo + pimienta negra + sal
894,  koyadofu + morilla + pollo + cebolla + ajo + aceite de oliva + nata + panceta ibérica salada + jugo de trufa negra
895,  mejillón de roca + mantequilla + huevo + pistacho tierno + limón + lima + especias Ouarzazate fatéma Hal + pimienta negra + sal
896, almendra frita + almendra tierna + almendra cristal + flor de saúco + aceite de almendra + aceite de oliva + sal
897,  foie-gras de pato + cuscús de cebada verde + piel de yuzu deshidratada + pimienta negra + aceite de argana + especias Imilchil fatéma Hal + sal
898,  ostra + yogur + limón + flor de saúco
899,  melón cantaloupe + azúcar + estragón + pimienta negra + aceite de oliva virgen extra
900, espárrago blanco + grasa de jamón ibérico + limón + aceite de oliva + aceite de oliva virgen extra + huevo + nuez tostada
901,  leche + nata + albahaca fresca + queso Idiazábal ahumado + nuez tostada + piel de limón semiconfitada + sal
902,  pimiento de Gernika + jamón ibérico + ajo + aceite de oliva virgen extra + pan + pimienta negra + sal
903,  guisante + menta + aceite de oliva virgen extra + sal + jamón ibérico + ajo
904,  melón cantaloupe + nardo + fruta de la pasión + azúcar + perifollo + estragón + albahaca + aceite de oliva virgen extra + sal
905,  caldo de ave y ternera + salsa de soja + jugo de pollo + jengibre + ajo + aceite de oliva + aceite de sésamo + sal
906, centolla + palomitas
907, cigala + alcaparra en sal + aceite de oliva virgen extra + vinagre de jerez + cebolla morada + clara de huevo + pepinillo en vinagre + yema de huevo + cebollino fresco
908,  espárrago blanco + toffee + estragón + limón + aceite de oliva + aceite de oliva virgen extra + yogur + sal
909, patata + aceite de oliva + yogur + aceituna negra + estragón + café + ácido cítrico + sal
910,  médula de atún + dashi + caviar osietra
911,  cigala + té matcha + piel de limón semiconfitada + albahaca fresca + lima + sésamo negro + sésamo blanco japonés + aceite de oliva + sal
912,  salmón + azúcar + lima + limón + mandarina + naranja + lima kaffir + pomelo rosa + estragón + hinojo + albahaca + aceite de girasol + sal
913,  atún + aceite de atún en conserva + huevo + tomate + estragón + perifollo + hinojo + albahaca + almendra tierna
914,  espardenya + mentaiko + aceite de girasol + ruibarbo + salsa de soja + vinagre de arroz + aceite de sésamo + azúcar + sésamo blanco japonés
915,  buey de mar + jugo de pollo + pimienta rosa + regaliz + cardamomo verde + azúcar mascabado + sandía + yogur + cacahuete + curry de Madrás + ácido cítrico + sal + aceite de oliva virgen extra
916,  buey de mar + panceta ibérica salada + jugo de pollo + mango + jengibre + ajo + anís estrellado + pimienta de Sechuán + aceite de oliva + aceite de sésamo + salsa de soja + shitake + cebolla tierna + guindilla + aceite de girasol + vinagre de arroz + cilantro
917,  seso de conejo + trufa de verano + aceite de trufa blanca + tuétano de ternera + panceta ibérica salada + consomé de ave y ternera + fondo de ternera + mantequilla + vinagre de jerez + lechuga + nuez tierna
918,  tórtola + chocolate + cacao + fondo de tórtola + foie-gras de pato + px + estragón + aceituna negra + aceite de oliva + café
919,  cordero + fondo de cordero + cacahuete germinado + cacahuete + melisa + curry de Madrás + jengibre + coco en polvo + tamarindo + jengibre glaseado + aceite de oliva
920,  parmesano + limón + vinagre balsámico + pimienta negra
921,  leche + coco + vinagre balsámico
922,  leche + nata + yogur + azúcar + flor de romero
923,  pomelo rosa + bulbo de hinojo + miel de romero + sésamo negro + aceite de girasol + sal + albahaca fresca
924,  pomelo rosa + azúcar + coco + menta
925,  mango + azúcar + pimienta rosa + mostaza en grano + anís estrellado + sésamo blanco japonés + vainilla + aceite de girasol + limón + sal
926,  huevo de codorniz + nata + azúcar + toffee + sal
927, mangostán + wasabi + agua de rosas + rúcula + aceite de oliva + sal
928, estragón + lichi + agua de azahar + café + albahaca + pimienta rosa + azúcar
929, agua de rosas + rosas + azúcar + aceite de girasol + piel de limón semiconfitada + lichi + guindilla + limón + wasabi + jengibre + lima + albahaca fresca
930,  agua de rosas + clara de huevo + limón + fresita + licor de frambuesa + azúcar demerara + canela + jengibre + tomillo + hinojo
931,  piña + cacao + azúcar mascabado + lima + vinagre balsámico
932,  arroz + azúcar + limón + azafrán + leche + mantequilla + nata + naranja + café
933,  tomate + azúcar + frambuesa + miel de romero + vinagre de jerez + vainilla + piel de naranja semiconfitada + especias Ras el Hanout fatéma Hal + lima + azúcar demerara
934,  pomelo blanco + pomelo rosa + café + coco + almendra amarga + cacao + haba tonka + azúcar
935,  leche + lima + cacao + mantequilla + azúcar + café + pasta de guirlache
936,  melocotón + chocolate + chocolate con leche + avellana + yogur en polvo + cacao + azúcar demerara
937,  lima + mora silvestre + shiso morado + wasabi + piel de yuzu deshidratada + azúcar
938,  miel de romero + mandarina + wasabi + menta + hinojo + perifollo + lima + campari + vainilla + jengibre + flor de romero
939,  albaricoque + amaretto + lima + almendra amarga + yogur en polvo + almendra + azúcar demerara + carbón de azúcar
940,  piña + limón + anís + hinojo fresco + mantequilla + azúcar
941,  mora silvestre + azúcar + chocolate blanco + cacao + café + azúcar demerara + yogur griego + hierba luisa + yogur
942,  leche + vainilla + miel de romero + mango + jengibre glaseado + hierba luisa + albahaca + menta + estragón + romero + piel de limón semiconfitada + piel de naranja semiconfitada + lima
943,  leche + azúcar + lima + yogur en polvo + yogur griego + hierba luisa fresca + melocotón de viña + pistacho tierno
944,  chocolate blanco + yogur en polvo
945,  leche + yema de huevo + azúcar + vainilla + naranja + limón + cacao
946,  chocolate + cacao + azúcar
947,  masa de pizza + azúcar + anís
948,  azúcar + lima + soda en polvo
949,  chocolate + caramelo Halls
950,  chocolate blanco + yogur + café
951,  chocolate + cacao + nibs + azúcar
952,  piñón + mantequilla + clara de huevo + limón + piel de limón semiconfitada + azúcar
953,  miel de romero + limón
954,  px + cereza
955,  yogur + mango + pimienta negra
956,  limón + tequila + cointreau + lima + azúcar demerara
957,  frambuesa + huevo + té matcha + jengibre + azúcar
958,  cardamomo verde + leche + canela + azafrán + huevo + piel de limón semiconfitada + azúcar
959,  fruta de la pasión + menta + café + azúcar
960,  chocolate + leche + nata + avellana + vainilla + cacao + azúcar + sal
961,  chocolate + piña + coco
962,  chocolate blanco + vainilla + avellana + leche + yema de huevo + sal
963,  café + nata + cacao + azúcar
964,  agua VOSS  +  vainilla
965, pomelo blanco +  azúcar   +  ron blanco +  ron negro   +  albahaca   +  co2
966,  piña   +  enebro   +  ginebra
967,  lima   +  azúcar   +  cachaça   +  estragón
968,  miel de romero   +  jarabe de granada   +  pimienta de Sechuán   +  esencia de mástic   +  estragón
969,  kiwano   +  azúcar   +  lima   +  nuez moscada
970,  ron blanco +  ron negro   +  piña   +  coco   +  azúcar
971,  pan   +  cep   +  ajo   +  laurel   +  aceite de girasol   +  pimienta negra   +  sal
971a,  pan   +  roquefort   +  aceite de oliva virgen extra
971b,  pan   +  trufa de verano   +  aceite de trufa blanca   +  cebollino   +  sal
971c,  pan   +  pimienta negra   +  aceite de trufa blanca   +  grasa de jamón ibérico
972,  eucalipto +  aceite de girasol   +  grosella   +  sal
973,  remolacha   +  azúcar   +  vinagre en polvo   +  pimienta negra
974,  nuez   +  huevo   +  aceite de nuez   +  aceite de girasol   +  nata   +  limón
975,  corteza de cerdo   +  jarabe de granada   +  mentol
976,  manzana  +  azúcar   +  ácido cítrico   +  sal   +  flor de apio
977,  guanábana +  azúcar   +  café   +  lima
978,  macarrón de harina de arroz   +  grasa de jamón ibérico   +  aceite de oliva   +  parmesano   +  limón
979,  arroz   +  alga nori +  aceite de sésamo +  glutamato monosódico +  sésamo blanco japonés   +  piel de yuzu deshidratada   +  shiso morado   +  sal   +  aceite de oliva
980,  remolacha   +  almendra amarga   +  azúcar   +  yogur en polvo   +  pistacho tostado   +  ácido cítrico
981,  kadaif   +  vinagre de jerez   +  aceite de oliva virgen extra  +  germinado de rábano   +  sal
982,  leche   +  sechuan button
983,  humo   +  jengibre   +  coco   +  sal
984,  humo   +  jengibre   +  coco   +  azafrán tostado
985,  té matcha   +  azúcar   +  alga kombu en vinagre   +  sansho   +  piel de yuzu deshidratada
986,  azúcar   +  palomitas   +  sal
